text,label
@AmericanAir you put a sour taste on this customer’s vacation. it was joke watching those “we care thanks for choosing us” videos,negative
@USAirways only sympathy she offered was holding a reservation until Monday night. That's pretty awesome if you ask me...,negative
@united how about 3659 YUL-ORD?,neutral
@virginamerica #flight home to #dc #sunset #globe in' #backtowinter back to #work! #refreshed http://t.co/VX9vBCTdLf,positive
@AmericanAir westjet and your rep won't do anything about my lost luggage- which I never even checked with westjet because it was lost in,negative
@AmericanAir Reservation Line won't let me speak to a representative because they are too busy. They literally disconnect you. Why bother?,negative
"@united your app says flight UA936 to #ZRH departed 2:45hrs Late Flight, but 5 hours Late Flightr we are still seating inside the plane in #IAD.  #failed",negative
@JetBlue thanks for your help! #jetbluesofly,positive
@AmericanAir that's absolutely horrible customer service. The person supposed to call me can't immediately call back when disconnected???,negative
@AmericanAir this has happens so many times. It's just upsetting to see how poorly an airline treats their customers,negative
@southwestair TREMENDOUS job. Atlanta Airport saw SW celebrate Mardi Gras. Another reason I'm nuts for you guys! http://t.co/8WBzOrRn3C,neutral
@united Every United flight between Saipan and Guam is an adventure! You never know when @CapeAir's old plane will be operational :),positive
@SouthwestAir no flights to HRL :( is this a limited route?,negative
@JetBlue just learning about your famous apology in social media marketing. Is Twitter an asset for Jet Blue now? @PhD_Mama_,negative
@SouthwestAir rules.,positive
@SouthwestAir so when do we find out who won the imagine dragons contest?,neutral
@USAirways ~45 minutes means no public transit home and an expensive cab. Promises doesn't make up for it,negative
@AmericanAir my mom’s flight tomorrow Cancelled Flighted w/ no notice. Phone system said callback in 2 hours and it’s been 4. I need to go to bed!,negative
"@usairways I just want to get home before Wednesday... Joke is over, 50hrs of Cancelled Flightlations and delays is enough!",negative
@united it's operated by united as it's a heathrow-Newark flight,neutral
"@united Ok thank you, do you provide complimentary hotel accommodations since I'll have to stay overnight?",negative
"@USAirways the least comforting thing from your pilot after sitting on a stationary plane for 3 hours is ""I don't really know what happened""",negative
"@AmericanAir Thanks for the reply, but a functioning plane four hours ago was the only way to do that. The staff was friendly, tho.",positive
"@SouthwestAir RT @kkwhb: Paid for early bird boarding and got B46.  I said to lady, ""well, that system is about dead."" She didn't understand",negative
@SouthwestAir can you follow me so I can send you the info?,neutral
@SouthwestAir Happily! But you need to follow me in order for me to DM you,neutral
@SouthwestAir - you can do better than having someone on hold for over an hr http://t.co/FxNv618B1A,negative
"@JetBlue you are officially my favorite, thank you for the wonderful service at JFK",positive
@united the Premier desk was able to rebook me with our friends at @AmericanAir. Only problem is now I have to pay for a checked bag :/,negative
@USAirways is it ok for a flight attendant to talk nasty about passengers while they go get drinks by the restroom? I was shocked listening,negative
@SouthwestAir Can I get any help with Cancelled Flighting my flight reservation?,neutral
@SouthwestAir 25 year customer but I am 6 3 and those lost 2 or 3 inches really hurt  every time the person in front shifts he raps my knees,negative
@usairways 4 flights in 48hrs &amp; I've had the same flight attendant for 3 of those flights. Freaky coincidence! Plus side she's great. :),positive
@JetBlue The Magic eight ball has never steered me wrong  :),positive
@USAirways can you please train your mechanics? Teach them to bring the tools to fix the plane with them and not leave them in the hanger.,negative
@SouthwestAir this would be an awesome experience #DestinationDragons,positive
@AmericanAir thanks,positive
@VirginAmerica You'd think paying an extra $100 bucks RT for luggage might afford you hiring an extra hand at @sfo #lame,negative
@AmericanAir @USAirways how can you have no food on a 4 hour flight 528 from Columbus to Phoenix? Starving and Pissed off. Can't eat Go Go!,negative
@JetBlue where do I add my AA loyalty number to my Jetblue reservation?,neutral
@USAirways Has To Be THE WORST Airline Of All Time😡😡😡,negative
@SouthwestAir wifi is so slow! What is the point having one if can't get on the Internet?! Ugh...,negative
@united What if my NYC flight is delayed and I miss my connection to Sacramento from Chicago?,negative
@USAirways @jtrexsocial i fell asleep from a call i placed midght.. guess what still on hold 7 am,negative
"@USAirways that link is broken. But if it's the online baggage locator, I already tried it and it gave me no useful information.",negative
@AmericanAir delayed for two hours at ORD--&gt;CDG the one time I need to be there to catch a train... 😒,negative
@united haven’t before and haven’t this time &amp; have checked spam/junk mail just in case—nothing,negative
"@USAirways 
Are you an incompetent airline every day, or just days that end in 'y'?",negative
@SouthwestAir has become like every other airline #crooked I can't believe they are taking over $500 #shouldwearmasks #shocked,negative
@united same day flights,neutral
"@AmericanAir jet slides off icy taxiway at @dfwairport 

STORY: http://t.co/4pONJ3jidE http://t.co/3DCWerZ1kr",neutral
"@united Thanks, I will!",positive
@SouthwestAir One heck of an airline http://t.co/CyoOnZfTdC,positive
@AmericanAir now 2 hrs! Guess I should just hang up &amp; give up on using my award miles before prices jump? Hm thanks http://t.co/LE4H2gTzXZ,negative
"@united &amp; on top of no free tv on the int’l leg, now I’m sitting on the Tarmac in Houston, 70 min past departure w/ another hr plus to go",negative
@JetBlue Flight Booking Problems flights for a DC visit for Easter weekend started difficult but ended well with you guys! Big fan here. :),positive
@united will the kudos to capt. Herman be relayed to his chief pilot or should I be emailing someone?,positive
@AmericanAir This is exactly why ill be flying AA from @Dulles_Airport to Dallas! Only airline I trust!,positive
@JetBlue Awww thank you B6! Glad to hear it!  Made my day! &amp; one last question do you have any idea what tail is operating flt 606 2maro? :),positive
@USAirways When I check online it states status closed. What does this mean? As I have yet been able to reach a live person...,negative
@AmericanAir thanks so much!,positive
"@AmericanAir It's our honeymoon,I paid extra business. I was sitting next to my bride, you bumped me because of status. Disgusted",negative
@JetBlue the TV. Wifi was spotty. It's just a nice feature for a X country flight. Still won't keep us away #lovejetblue,negative
@AmericanAir done. I hope you can offer something.,neutral
@AmericanAir spent hour+ trying to check after to use military ID for luggage then messed up boarding pass &amp; forced into line again.,negative
@SouthwestAir 2 hours on hold for customer service never us SW again,negative
"@SouthwestAir Oh no worries NL, no disappointments here. Better to have NO lounges than like #Delta who has them but does disappoint!",positive
@VirginAmerica of course! I work for @VirginAtlantic and I'm obsessed with the entire Virgin family!!,positive
@united - #epicfail from a former gate agent in PIA!  He walked away and quit! Luckily a responsible PIA agent saved the day!,negative
"@SouthwestAir @FortuneMagazine I DO like your airlines, congrats! : )",positive
"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/tZZJhuIbCH #CheapFlights #FareCompare",positive
@united we booked at the same time AND he called was told confirmed we were linked. Even after he had to make changes to his rez.,negative
@united lost bag in Huston we leave for a Bahamas cruise today from #nola and had to buy all new stuff. Customer service is non existent,negative
@JetBlue This is absurd. Should a stranger help my kids if there's a problem? #jetblue http://t.co/LAiGgef9Kj,negative
@USAirways what's up with flight 5545 no gate agent or plane at PHX B18?  Nice customer service.,negative
@united current hold time AFTER speaking to rep to have tix reissued is 42 mins - why so long &amp; why not make this option available online?,negative
@USAirways you are the worst.,negative
@united  @DENAirport United 787 in snowy Denver. http://t.co/w1AaKJumXA,neutral
@AmericanAir we've been on hold for hours.,negative
"@united as u might imagine, this former pilot was particularly touched by the gesture. Please let the FO know #keepingtraditionsalive",positive
@USAirways Then told to offload because the captain was over hours? This has been a terrible experience.,negative
@USAirways I NEED TO *SPEAK* TO SOMEBODY ABOUT A RESERVATION. As in talk to a human being. Yet your computer system puts the phone down on,negative
@JetBlue doesn't help if I have to fly on specific days,negative
@SouthwestAir Jason (108639) at Gate #3 in SAN made my afternoon!!! #southwestairlines #stellarservice #thanks!,positive
@AmericanAir No worries at all. Y’all have a good one!!,positive
@JetBlue #kudos! And we're done and heading to warmer weather!,positive
@united says @USAirways  is the final carrier . Us air doesnt have it. I want my bag!!! Not a claim not an im  sorry. I want my clothes!!,negative
"@AmericanAir My flight 1108 was Cancelled Flightled. I need to be rebooked, and I can't do it online and they aren't answering calls. Help!",negative
@united Wife and I have two new destinations and I'm stuck in DC until Monday with no bags,negative
@AmericanAir followed!  Sure hope you can help!,neutral
@SouthwestAir thanks for the apology. Unfortunately i have had one too many bad experiences and will no longer be flying with southwest.,negative
@VirginAmerica Very poor experience. First computer problem now seat malfunction. Stuck. Missing meeting in San Diego.,negative
@united too big to properly manage flight times. There is such a thing as being on time. Or at least prepared with a gate when we land!,negative
@USAirways @AmericanAir  stranded in North Carolina and trying to figure out options but can't get anyone to talk to,negative
@VirginAmerica I love the dancing little richard. cool beans.,positive
@USAirways I tried speaking to multiple people at your reservations desk after 30 min on hold. #waivethefee #poorcustomerservice #Neptune,negative
@SouthwestAir prove it,negative
@AmericanAir Please explain why it costs almost the same price of a full roundtrip fair to only change the departure time of a flight?,negative
@united i DMed you the details,neutral
"@united Doumented via link. However, now that it has been over four months with no response, what do you suggest? Or shall I not expect one?",negative
@united absolutely disgusting the way you treat your customers. Isn't there anyone actively monitoring your Cust serve? This is  unreal!!,negative
@JetBlue I would go to Las Vegas. It is gorgeous and I go there every year and I fly with you guys Vegas is gorgeous &amp; so much to do there.🌴,positive
"@JetBlue we are delayed, until he arrives",negative
@United DO NOT FLY UNITED WITH CHECKED BAGGAGE! It will never find you!,negative
"@AmericanAir 's computer systems are down, can't leave without a flight plan! Any ETA, American air?",negative
@united very disappointed in CC. Purchased ticket online w/ voucher and charge full amnt. Would not hold price after refund. Unacceptable,negative
@united - 3 of 6 First seats open on UA5097. No upgrades processed. Gate agents @yyz said their too busy. Not cool http://t.co/6KpyhckA9l,negative
@united you are the worst. I will avoid you like the plague.,negative
“@united: @BattierCCIpuppy Your puppy is so cute. We look forward to having both of you on board. Thanks for the high five. ^EY” 👏👏,positive
@USAirways I really appreciate there not being an easy way to get another flight when mine has been delayed over 2hrs for mechanical reasons,negative
@VirginAmerica Grand Budapest Hotel #OscarsCountdown,neutral
@SouthwestAir my pts expired. I made a prchase @ an online retailer to b told by SW that those won't show for 6-8 wks so too L8 2 keepmy pts,negative
@usairways I've called for 3 days and can't get thru. is there some secret method i can use that doesn't result in you hanging up on me?,negative
@united WHERE IS MY FUCKING BAG?!?! Where the fuck is my fucking bag??? TELL ME NOW OR GIVE ME A NUMBER TO CALL A HUMAN. SAN68059M,negative
@united Woke up to notification- flight moved 1.5 hrs early. Barely made flight then 3 hrs layover in SFO - wanted to hop on earlier option,negative
@VirginAmerica what happened to Doom?!,neutral
"@AmericanAir that's interesting-Agent told me so. Sadly, another booked passenger didn't make it to gate by push back so I made it on.",negative
@SouthwestAir @FortuneMagazine well deserved!,positive
@USAirways never received such horrible service or treated so poorly as Richard P. today. No excuse for attitude &amp; ripping up our tickets!,neutral
"@AmericanAir Its the ABC's of PR, let your customers have the most info possible. Might want to go brush up on the basics...",negative
@usairways #crew keeping safety top of mind in CLT. http://t.co/a0YoSJHZMc,positive
@united trying to check in for tomorrow's flight. website keeps timing out. what's up?,negative
"@united: I don't care that a @thehipmunk link showed me a ""wrong"" price on your site—it's your site &amp; responsibility to ensure correctness.",negative
.@AmericanAir ReFlight Booking Problems for the following day is unacceptable. DMing you that and our phone number.,negative
"@AmericanAir Hi, can you please ticket my award ticket? The status is ""On Request"" now. Thanks.",neutral
@united can you DM me? Been on hold with customer service very long time (53 min +) and getting the run-around. Thanks.,negative
@JetBlue can't seem to DM you guys.. JDHADP,negative
@SouthwestAir I did. Thank you.,positive
@united [checked in + boardingpass w/no checkin bagage] guess i'm all set. :-),neutral
"@united sure, but 8 different texts changing time &amp; gate (especially locations across the entire concourse). That just seemed a little off.",negative
@VirginAmerica has flight number 276 from SFO to Cabo San Lucas arrived yet?,neutral
@united I miss the Continental days.,negative
@united I used to be a committed #ContinentalAirlines flyer until merger. I remember now why I switched to @SouthwestAir #CommunicationFail,negative
@united Your social listening capabilities are awful if this is the reply for the context in which you were mentioned @stevelord212,negative
"@AmericanAir aa employees were rude and unwilling to help. 10,000 miles is a rotten cherry on top of a dog shit Sunday. #nocareforcustomers",negative
"@AmericanAir Thanks, both airlines said that it is located at AA Detroit. Also was informed that it flew with AA, which shouldn't matter.",positive
@AmericanAir Here is the photo ;) http://t.co/VMqUURZUpW,neutral
"@AmericanAir It's been 3 weeks and no reply from customer relations yet.  Running out of time, please help.  request: 1-2888155964    thanks",negative
@jetblue I was able to access it by using the drop down instead of clicking on the tab.,neutral
@AmericanAir understand waiting 2+ hours for callback on the exec plat line but when call dropped the agent could at least try again,negative
"@USAirways - had to call to find out I was re-booked tomorrow, why ask for my number an email for day of info",negative
@united there is a sector whereby it says $0 in both bags...no bag allowance at all in international flight?,neutral
@VirginAmerica should use this in their next airline commercial lol :: http://t.co/pXEXIlSjBs,neutral
@SouthwestAir I don't want to be too whiny. We accommodated several passengers whose earlier flight was Cancelled Flightled. Our flight was very long.,negative
@united why is it that Sundays when my husband travels to Chicago he's stuck at Tarmac &amp; misses connecting flight always,negative
"@AmericanAir ""overweight"" flight = you sold more tickets than you had seats. We all know that. Let's call it what it is.",negative
@USAirways color me confused but why would i need to call and do this. Update your procedures and policies. You can see who is connecting,negative
@united very poor customer service. I WILL think again befor Flight Booking Problems another United flight.,negative
@united you think you boarded flight AU1066 too early? I think so.,negative
@JetBlue what is happening with the flight from FLL to SFO? Why the delay and the reroute?,negative
@USAirways - First impressions are hard to reverse.  A horrible first experience with you.  Will never fly with you again!!!,negative
"@united @staralliance was there few weeks ago AWESOME,bright vibrant, and NO habitrails",positive
@VirginAmerica I'd love to know what your policy is for damaged luggage.,neutral
"@SouthwestAir Thanks so much. Appreciate your kindness in adjusting our reservation. Even during snowstorms, I still prefer Southwest. 👍",positive
"@USAirways I'm referring to email like this.  Just tell people when they GET the upgrade. Otherwise, we know already. http://t.co/N8UvCLMADA",neutral
@AmericanAir they sent her a letter and said they would talk to the stewardess about serving drunks drinks how does that help,negative
@USAirways thanks! Made it safely! http://t.co/KCqeBEej7S,positive
^CB how do you know? @SouthwestAir,neutral
@AmericanAir sucks!! Teco teco #reclameaqui #TripAdvisor http://t.co/auGJsCmoLu,negative
@SouthwestAir don't you think a 4hr wait time to speak to an actual agent is ridiculous?! My flight was Cancelled Flightled this morning! #Getyourlife,negative
@USAirways i will be Cancelled Flighting my us airways credit card and choosing other airlines after my experience this week.,negative
@VirginAmerica do you miss me? Don't worry we'll be together very soon.,neutral
@USAirways There is an error w/ my preferred status &amp; I'm not able to reach an agent via phone. Travel Friday. Need resolved - contact info?,negative
"@united do u serve peanuts/nuts on yr flights yr policies r confusing contradictory advice Pls help #Anaphylaxis,will u ask those 2 refrain?",neutral
@united Flight delayed 40 minutes in ORD because plane didn’t have all the food. That should be fixed in the future. It’s a dumb delay.,negative
"@united done just now, thanks.",positive
@AmericanAir appreciate it!!,positive
"Lines may be extra long or security slow, but seems your employees too quick to blame customers who don't arrive 3-4 hours ahead @JetBlue",negative
@SouthwestAir still haven't left @BWI. Maybe by the time I'm suppose to fly back to Austin on Tuesday we'll have moved.,negative
@united do you have an e-mail address I can write my account to? Might be less likely to disappear,neutral
@SouthwestAir I will not have my passport in time for my trip. Could I still fly with photo ID? #thingsishouldknow #ifeeldumb,neutral
@AmericanAir You moved us onto 6.55pm but there is availability on 1.50 and 3.30.   No answer on your phone. Have young children.  HELP!,negative
@JetBlue That'd be nice! Hoping to rack up enough miles to take a trip to Seattle and enjoy a perfect latte in the city of coffee.,positive
@United so what’s the deal? Do u provide voucher for overnight or am I cozy on the floor at #OHare ? #gross #HelpMePlease #AnyoneThere,neutral
@AmericanAir 235.  We made it to Seattle...,neutral
@AmericanAir employees are racist!!!!!,negative
@VirginAmerica delayed to10.30!!,negative
@USAirways Im researching a flight &amp; noticed a small issue w/class of service between your site &amp; other sites. Could Reservations help me?,neutral
@AmericanAir thanks for finally letting me get through to book my flight. Frustration  set in... #donedeal #talktoahuman,negative
@SouthwestAir will the Daytona 500 be available on free TV?,neutral
"@united well sorta....we r trying to get to Aquadilla, PR but only 1 flight goes there a day. All are booked. UA Cancelled Flighted our flight to NJ",negative
@united I bought a ticket yesterday and received a confirmation. Tried to check in and they said I hadn't paid for it. So I called was on,negative
@AmericanAir at LAX and your service reps just hand out the 800 number to call. So that's not helpful.,negative
@AmericanAir from a service rep but that hasn't happened yet. I'm honestly fed up and sick of this. No notice when my flight got Cancelled Flighted,negative
@VirginAmerica always!!! Xoxo,positive
@AmericanAir 1hr 46 min. Cost of flight change $788. Was $188 2hrs ago b/f drop call. Cancelled Flighted flight. Asked 4 refund.,negative
@USAirways you used to have an evening flight DCA-DSM and an early AM return. Now it's middle of the work day for both. Inconvenient.,negative
@AmericanAir r u serious?? 304min #delay with #AmericanAirlines #AA2444 #ohio - #dallas missed my connecting flight http://t.co/DNMsblzumr,negative
@JetBlue Does @AirCanada not take fraud as seriously?,neutral
@united my son is a passenger on flight 3710 from Chicago to Toronto. The plane came within feet of colliding  another plane and is stopped.,negative
"@JetBlue sadly, no! I have the app, but it also is experiencing difficulties. The flight information boards are keeping me updated.",negative
"@AmericanAir @praywinn between understaffing, what looks like a labor slowdown, weather, incompetence, and disregard for the customer...",negative
@united Thank you! You need to follow back tho otherwise I can't DM you. X,positive
@united very missed daughter suppose to dpt ORD @5:59pm - dpted  8:30pm -checked week's average for UA3645 -shameful!  7 day average 7:54pm,negative
His name is Enzo 😊 RT @JetBlue : @Setorii Well hello there pooch! What's your name? #dog http://t.co/dLh9138HBg,neutral
@united @ShowExpert what is going on with United's Mileage Program? You pay $500 for a ticket and get a fraction of that as PQD credit?,negative
@united let me assure you my travel time is 4h2m not 5h2m #timezones #accuratetraveltimes #3rdtimethishashappened http://t.co/e0C9bI09cf,negative
@united Another awful experience and Victoria at the check in desk in STL could not have been more rude and condescending.,negative
"@USAirways Is it possible to earn Dividend Miles for a passenger that is not me, even if I am purchasing the tickets?",neutral
"@united Such as deodorant, shampoo, toothpaste. Seems like that would be limited to 70oz, correct?",negative
@AmericanAir flights out of Dallas on Tuesday are not going to be Cancelled Flightled correct?,neutral
"@SouthwestAir #DestinationDragons @Imaginedragons Scavenger Hunt Vegas, BE READY!!! http://t.co/vHgkiTzSaw",neutral
".@VirginAmerica not only was it great, but you return my calls the day after. Couldn't ask for more. #myVXexperience",positive
@SouthwestAir you Cancelled Flightled my flight to EWR. Flt 3076. U also Cancelled Flightled flights to LGA. Yet @united is flying on time to both. WTH??,negative
@USAirways Will do :),positive
@United What idiot designed your seats? Armrest TV remote &amp; resting elbows don't mix. Seatmate keeps changing channels &amp; blasting volume.,negative
@united perfect! Thank you!,positive
@united they have access to the dial that makes it faster do they?,negative
@SouthwestAir how do I get a companion pass,neutral
@SouthwestAir flt 3260 out of mht. Have fun with my kids and grandkids 10 of them!!  Jack says hi! http://t.co/BHOOiyT6ZQ,neutral
@USAirways Hi-i have a travel question. Could you please follow me so i can dm you?,neutral
"@USAirways this is my 2nd attempt to call US airways dividend miles, 52 minutes no help hung up - #usairways #BS http://t.co/GiEnNyqN22",negative
"@JetBlue Why doesn't your ""Best Fare Finder"" work?",negative
@SouthwestAir thank you!,positive
@JetBlue I tried a burger which was good but expensive! Were lead to believe that food in the USA is cheap butnot here!,negative
@USAirways Only water on flight 763 to DCA? This is the first time I've ever seen this happen. #ExecutivePlatinumMeansNothing #IWantCoffee,negative
@AmericanAir Was not on board you today just watched report unfold on Twitter but still am very proud!,positive
@USAirways screwed me up big. 1st flight 1hr Late Flight. Made it to 2nd flight. CSM daryl wouldn't let me on the plane because we were (1/4),negative
@AmericanAir Is this a serious thread. Maybe you guys should re-read it. #fail,negative
@AmericanAir Again you guys are a huge joke and Cancelled Flight your flight for no reason. This is the 3rd time in one trip for me that you have,negative
@USAirways I spoke with a customer service rep who was rude and curt and transferred me to eternal hold. Sad. #badservice #mergerdisaster,negative
@AmericanAir delta rerouted 6 of my bags onto aa977 MIA-CUR. How can I see if they made it onto the flight?,negative
I hate you all. RT @JetBlue: Our fleet's on fleek. http://t.co/uTdfqF5WPA,negative
"@AmericanAir I didn't miss my flight.  American Airlines gave my ticket, as well as 6 other passengers tickets away. Not my fault.",negative
"@united I am trying to find out if the loaner seat is new or used, a used car seat is illegal according to safety regulations",neutral
@USAirways merging with American will negatively affect your quality and integrity. I will no longer fly with you because of it.,negative
@AmericanAir dmed back,neutral
@AmericanAir 37 minutes??????,negative
"@AmericanAir TY! But, their site says "" Please note that we do not offer a print subscription service for American Way. ...""",negative
@USAirways what is wrong with you guys and your inability to get planes in and out of Philly on time. Our pilot gave us a answer that was bs,negative
Just got off the phone @AmericanAir customer service. Only 8 minutes to get my issue resoled. You guys are awesome.,positive
@SouthwestAir are you guys gonna be giving away any tickets for @Imaginedragons at @VinylVegas? #DestinationDragons,neutral
@SouthwestAir @poisonpill76 im in same boat.. 8am flight to Jacksonville... Get me out of here!!,negative
@AmericanAir make sure u insure your luggage as those assholes @ AA take no fricken responsibility...&amp; don't  believe their lies!!!!,negative
@united Kurt and the crew on UA1745 were amazing today. They made my son's birthday with their kindness. Hope to fly with them again soon!,positive
@united Thanks for the reply. The box is not mine and I'm not missing one. It was added to my bag ....,negative
.@united I appreciate you looking. Can you compensate me on anything for my troubles? Still haven't taken off for a 10:30 am flight,negative
@united it wasn't a comment. It was a question. But thanks for your copy and paste response,negative
"@USAirways great operation you guys are running. More mechanical issues, and now taping piece of plane together LOL http://t.co/I5V9wfbtuE",neutral
@USAirways have you heard about the debacle at DCA? What is happening with our New Orleans flight? #wewanttoknow,negative
@SouthwestAir Any possible chance of SWA bringing back service between LGA-BWI? It would make it much easier to connect to the west coast.,neutral
“@JetBlue: @maatkare67 We hope you're still our bae! @TatianaKing @thewayoftheid”haa man,neutral
@USAirways thanks for overFlight Booking Problems first class and automatically downgrading my upgrade 3 min before boarding. #ffstatusdontmatter #thenewaa,negative
"@AmericanAir couldn't get anyone on the phone all day, the flight you rebooked had me missing a conference.We won't be on flt 1568 tomorrow.",negative
@united You know what the United Club needs? Power. MOAR power. Insufficient outlets for the #RoadWarrior (ORD),negative
@JetBlue is so sloooooow today,negative
@united did not let me get on the IAH-HNL direct. Now weather delay for my SFO leg. Stop being reactive and be proactive!,negative
"@SouthwestAir thanks for the b day concert I watched them all (and noticed the fist bump/high five at the end of the ""rock"" version)",positive
@USAirways lots of fun to be removed from top of a list and manually readded to the bottom thanks to club agents. Thanks a lot Asha at DCA.,negative
"@AmericanAir please fix your inventory system, Plat upgraded then bumped DOWN after boarding, FA said they made a mistake. AA45 3A➡️8C 😕",negative
@JetBlue woof I'm on the red cArpet http://t.co/iIdrbLNOoX,neutral
".@AmericanAir after 50 minutes on hold, and another 30 minutes on the call yes. Going to be pushing it to get to the airport on time now",negative
"@united really hoping to get some help here.  On my 5th attempt to get a resolution, and lost count of transfers.  help please! #mileageplus",negative
